s lambda f_ref adapted2 nu12 gap2 adapted3 nu13 gap3 adapted4 nu14 gap4
0.103333333333 0.986315290122 0.966607230599 0.492350196923 0.238061283560 0.254288913363 0.227786508237 0.060206002900 0.167580505336 0.058616028774 0.000000000000 0.058616028774
0.105000000000 0.985858333598 0.966160022481 0.489778893129 0.235027564186 0.254751328943 0.225321239551 0.058519115697 0.166802123854 0.057262299182 0.000000000000 0.057262299182
0.106666666667 0.985393250211 0.965704860873 0.487195186893 0.232035704603 0.255159482289 0.222852833129 0.056870284053 0.165982549076 0.055914808806 0.000000000000 0.055914808806
0.108333333333 0.984919996546 0.965241703287 0.484599282223 0.229084792143 0.255514490080 0.220381624912 0.055258589001 0.165123035911 0.054573932484 0.000000000000 0.054573932484
0.110000000000 0.984438528101 0.964770506168 0.481991380973 0.226173943791 0.255817437182 0.217907948712 0.053683144247 0.164224804465 0.053240044039 0.000000000000 0.053240044039
0.111666666667 0.983948799260 0.964291224876 0.479371682789 0.223302304826 0.256069377964 0.215432136208 0.052143094642 0.163289041565 0.051913516340 0.000000000000 0.051913516340
0.113333333333 0.983450763272 0.963803813656 0.476740385070 0.220469047537 0.256271337533 0.212954516952 0.050637614740 0.162316902212 0.050594721372 0.000000000000 0.050594721372
0.115000000000 0.982944372221 0.963308225614 0.474097682926 0.217673370023 0.256424312903 0.210475418380 0.049165907444 0.161309510936 0.049284030319 0.000000000000 0.049284030319
0.116666666667 0.982429577002 0.962804412693 0.471443769147 0.214914495050 0.256529274096 0.207995165829 0.047727202734 0.160267963094 0.047981813642 0.000000000000 0.047981813642
0.118333333333 0.981906327290 0.962292325641 0.468778834170 0.212191668989 0.256587165181 0.205514082553 0.046320756470 0.159193326084 0.046688441170 0.000000000000 0.046688441170
0.120000000000 0.981374571513 0.961771913987 0.466103066057 0.209504160796 0.256598905261 0.203032489760 0.044945849257 0.158086640502 0.045404282197 0.000000000000 0.045404282197
